UF;Receita_media_estado;Coeficiente_estado;Participacao_estado_2025;Diferenca_estado_pp;Receita_media_municipios;Coeficiente_municipios;Participacao_municipios_2025;Diferenca_municipios_pp;Coeficiente_total;Participacao_total_2025;Diferenca_total_pp;Anos_cota_declarada
PR;41299629980.72569;3.9575884670100376;3.8671701632223026;0.09041830378773508;19972662188.128113;1.9139052230761506;1.9665857331218326;-0.05268051004568197;5.871493690086189;5.833755896344135;0.037737793742054215;6
RJ;52284052150.90061;5.010184398686464;4.648648172272206;0.3615362264142581;30041964686.83968;2.8788086727761626;2.8293596307371915;0.04944904203897105;7.888993071462627;7.4780078030093975;0.4109852684532296;7
RN;7273801762.590813;0.6970211108521138;0.6806112364324196;0.016409874419694215;3595218327.5548925;0.3445162728129688;0.3520240610478706;-0.00750778823490178;1.0415373836650827;1.0326352974802901;0.008902086184792601;7
RO;6694144789.413414;0.6414747596392958;0.6647917526358577;-0.02331699299656187;2499657044.8389587;0.23953274876195946;0.25440669128746873;-0.014873942525509276;0.8810075084012553;0.9191984439233264;-0.03819093552207109;7
RR;1585425614.2875957;0.15192538357692673;0.15403694916793387;-0.002111565591007142;713142225.937867;0.06833774176734106;0.07450081522108266;-0.006163073453741605;0.22026312534426778;0.22853776438901652;-0.008274639044748733;6
RS;44230485949.795654;4.238441389592444;3.903690210371053;0.3347511792213913;20086973300.65015;1.9248592277677044;1.8541100244458357;0.07074920332186863;6.163300617360149;5.757800234816889;0.40550038254326015;6
SC;32384464560.461685;3.10328163992249;3.2394686691458467;-0.13618702922335668;15442061882.465416;1.479754807523014;1.618411667181659;-0.13865685965864505;4.583036447445504;4.857880336327506;-0.2748438888820024;7
SE;4560893365.875183;0.4370532857673087;0.4441953825064071;-0.007142096739098436;2264907264.9534903;0.21703755880646947;0.22459532407837135;-0.007557765271901884;0.6540908445737782;0.6687907065847785;-0.014699862011000264;7
SP;188680126101.82385;18.080508018184833;17.133094132057046;0.9474138861277872;123070576725.95708;11.793391255714184;12.23983392171627;-0.4464426660020866;29.873899273899017;29.372928053773315;0.5009712201257024;0
TO;6728460676.189253;0.6447631222179112;0.6840442245409805;-0.03928110232306925;2030192739.9171019;0.19454574719078999;0.21401060817320003;-0.019464860982410043;0.839308869408701;0.8980548327141805;-0.05874596330547954;7
